VideoCompletes,SocialLikes,SocialShares,CTR,conversion
4279356.0,1367.0,69.0,0.19030748984052961,544
4394810.0,1378.0,65.0,0.185440378148451,625
4487162.0,1437.0,70.0,0.17966166398971242,488
4545838.0,1469.0,69.0,0.17452538506161785,434
4659235.0,1549.0,78.0,0.1701938836061286,360
4744352.0,1622.0,79.0,0.16564004813845218,342
4886626.0,1649.0,75.0,0.162359622551063,460
4942079.0,1688.0,78.0,0.1599165837190997,624
5055394.0,1710.0,79.0,0.1544669474181572,491
4977130.0,1747.0,77.0,0.1530172947781682,333
4896645.0,1755.0,79.0,0.1529840275014103,281
4835587.0,1766.0,79.0,0.15410171316716328,350
4769190.0,1793.0,124.0,0.15415453035468868,346
4702977.0,1808.0,130.0,0.1517487380855137,302
4728690.0,1897.0,135.0,0.14911008124251296,345
4811913.0,1990.0,137.0,0.1445060129168862,518
4810154.0,2032.0,138.0,0.14672978362902628,477
4838635.0,2053.0,138.0,0.14868274943844434,560
4798199.0,2071.0,134.0,0.15054479573507204,310
4831220.0,2131.0,128.0,0.15192143184185863,460
4758434.0,2186.0,132.0,0.15127477270511494,237
4656300.0,2195.0,125.0,0.15207153267407725,674
4618437.0,2156.0,134.0,0.15240495223159858,838
4598068.0,2200.0,140.0,0.15405573223013483,910
4526538.0,2255.0,145.0,0.15598244461584967,910
4600128.0,2270.0,152.0,0.15791876070360958,496
4681008.0,2274.0,153.0,0.1605390551076538,664
4762940.0,2311.0,153.0,0.16117037218015215,768
4884359.0,2312.0,153.0,0.16207894064645767,1298
5032349.0,2300.0,156.0,0.16445841866947936,997
4860949.0,2264.0,157.0,0.16995971905052937,1216
4652950.0,2249.0,155.0,0.17595517304342362,980
4452215.0,2212.0,167.0,0.18428994201628152,781
4295665.0,2222.0,167.0,0.19106849620159766,698
4086266.0,2194.0,162.0,0.19643061467008816,1325
3906042.0,2146.0,161.0,0.20157759967828257,944
3628136.0,2154.0,162.0,0.20805935568870465,730
3389550.0,2127.0,158.0,0.21369120599538097,629
3194878.0,2110.0,156.0,0.21979447690843448,528
3171309.0,2118.0,156.0,0.22219928888257826,636
3164795.0,2175.0,154.0,0.22438815772531837,658
3139029.0,2222.0,157.0,0.22437630827335556,625
3131537.0,2216.0,113.0,0.2242004753604922,915
3094572.0,2219.0,108.0,0.22854444429982632,805
3003126.0,2132.0,101.0,0.23460097947904965,678
2916766.0,2120.0,99.0,0.24034161260295125,883
2786526.0,2185.0,103.0,0.2471190795330282,672
2690669.0,2214.0,90.0,0.2536923351912577,802
2629056.0,2250.0,87.0,0.25988465000280525,788
2533786.0,2271.0,88.0,0.26574834203355496,1161
2454205.0,2257.0,85.0,0.27248936687532926,1455
2597422.0,2276.0,85.0,0.2741705531844917,1123
2765263.0,2292.0,77.0,0.2754915701913703,964
2946052.0,2314.0,73.0,0.27713691955120906,553
3108998.0,2300.0,67.0,0.27813331038640193,742
3209617.0,2301.0,61.0,0.27849966130541576,1289
3298983.0,2264.0,58.0,0.27831471870683483,1103
3320670.0,2289.0,58.0,0.27887512933664327,1223
3325756.0,2321.0,61.0,0.2797279709127895,1414
3318898.0,2299.0,55.0,0.28016566580801083,1229
3579971.0,2333.0,58.0,0.2775236924992601,553
3849511.0,2342.0,60.0,0.2749922737727856,933
4129001.0,2366.0,41.0,0.2692926466972045,980
4398414.0,2367.0,43.0,0.26538082354439313,1191
4661650.0,2392.0,42.0,0.26183418853818935,1064
4950631.0,2414.0,44.0,0.25888489022781397,1671
