VideoCompletes,SocialLikes,SocialShares,CTR,conversion,AudienceType,AdDigitalChannel
1107371.0,14.0,0.0,0.14672978362902628,104,Audience Type 2,Programmatic Display
1168874.0,17.0,0.0,0.14868274943844434,43,Audience Type 2,Programmatic Display
1204147.0,16.0,0.0,0.15054479573507204,19,Audience Type 2,Programmatic Display
1274156.0,12.0,0.0,0.15192143184185863,29,Audience Type 2,Programmatic Display
1308459.0,11.0,0.0,0.15127477270511494,23,Audience Type 2,Programmatic Display
1334541.0,11.0,0.0,0.15207153267407725,36,Audience Type 2,Programmatic Display
1395230.0,11.0,0.0,0.15240495223159858,42,Audience Type 2,Programmatic Display
1432947.0,11.0,0.0,0.15405573223013483,9,Audience Type 2,Programmatic Display
1453473.0,11.0,0.0,0.15598244461584967,104,Audience Type 2,Programmatic Display
1462003.0,12.0,0.0,0.15791876070360958,14,Audience Type 2,Programmatic Display
1469622.0,11.0,0.0,0.1605390551076538,63,Audience Type 2,Programmatic Display
1494924.0,11.0,0.0,0.16117037218015215,48,Audience Type 2,Programmatic Display
1517688.0,16.0,0.0,0.16207894064645767,21,Audience Type 2,Programmatic Display
1544467.0,17.0,0.0,0.16445841866947936,33,Audience Type 2,Programmatic Display
1501618.0,17.0,0.0,0.16995971905052937,2,Audience Type 2,Programmatic Display
1440257.0,17.0,0.0,0.17595517304342362,0,Audience Type 2,Programmatic Display
1392423.0,17.0,0.0,0.18428994201628152,0,Audience Type 2,Programmatic Display
1350316.0,17.0,0.0,0.19106849620159766,0,Audience Type 2,Programmatic Display
1300988.0,17.0,0.0,0.19643061467008816,0,Audience Type 2,Programmatic Display
1260001.0,15.0,0.0,0.20157759967828257,0,Audience Type 2,Programmatic Display
1167363.0,24.0,0.0,0.20805935568870465,4,Audience Type 2,Programmatic Display
1094869.0,24.0,0.0,0.21369120599538097,2,Audience Type 2,Programmatic Display
1050229.0,24.0,0.0,0.21979447690843448,0,Audience Type 2,Programmatic Display
1050229.0,24.0,0.0,0.22219928888257826,4,Audience Type 2,Programmatic Display
1050426.0,24.0,0.0,0.22326382886778742,10,Audience Type 2,Programmatic Display
1059797.0,24.0,0.0,0.22299660047266287,1,Audience Type 2,Programmatic Display
1059458.0,22.0,0.0,0.22302766739969995,0,Audience Type 2,Programmatic Display
1059458.0,22.0,0.0,0.22765574060725985,0,Audience Type 2,Programmatic Display
990148.0,21.0,0.0,0.23368234906251126,0,Audience Type 2,Programmatic Display
923849.0,20.0,0.0,0.2401466582869734,0,Audience Type 2,Programmatic Display
852032.0,20.0,0.0,0.2469851760854273,0,Audience Type 2,Programmatic Display
774644.0,17.0,0.0,0.2532645618229535,0,Audience Type 2,Programmatic Display
723912.0,17.0,0.0,0.259770407777225,0,Audience Type 2,Programmatic Display
634907.0,17.0,0.0,0.2650948414002187,21,Audience Type 2,Programmatic Display
617167.0,17.0,0.0,0.2673918892380168,9,Audience Type 2,Programmatic Display
632350.0,17.0,0.0,0.2688902044310797,25,Audience Type 2,Programmatic Display
656038.0,17.0,0.0,0.27075327209377814,27,Audience Type 2,Programmatic Display
652224.0,17.0,0.0,0.27208880226334065,44,Audience Type 2,Programmatic Display
668845.0,17.0,0.0,0.2722537929037133,25,Audience Type 2,Programmatic Display
721376.0,18.0,0.0,0.2727472047396788,22,Audience Type 2,Programmatic Display
732763.0,17.0,0.0,0.2727302791005836,17,Audience Type 2,Programmatic Display
737887.0,17.0,0.0,0.27380163950409414,23,Audience Type 2,Programmatic Display
744361.0,13.0,0.0,0.27436100114898193,46,Audience Type 2,Programmatic Display
738887.0,15.0,0.0,0.2754884592941444,36,Audience Type 2,Programmatic Display
803209.0,15.0,0.0,0.2730239158816493,23,Audience Type 2,Programmatic Display
871149.0,15.0,0.0,0.2693688995336139,94,Audience Type 2,Programmatic Display
968310.0,15.0,0.0,0.2642637087571849,27,Audience Type 2,Programmatic Display
1040598.0,19.0,0.0,0.2602275556479342,60,Audience Type 2,Programmatic Display
1117403.0,19.0,0.0,0.2569819809322599,17,Audience Type 2,Programmatic Display
1192162.0,19.0,0.0,0.2541660420423894,35,Audience Type 2,Programmatic Display
1285186.0,12.0,0.0,0.25109478231813764,9,Audience Type 2,Programmatic Display
1361678.0,13.0,0.0,0.24884486145710563,48,Audience Type 2,Programmatic Display
1432070.0,13.0,0.0,0.24608087825833985,37,Audience Type 2,Programmatic Display
1497585.0,13.0,0.0,0.2423784257382558,84,Audience Type 2,Programmatic Display
1577738.0,19.0,0.0,0.23852276814469803,12,Audience Type 2,Programmatic Display
1654252.0,22.0,0.0,0.2343942661458845,44,Audience Type 2,Programmatic Display
1737883.0,23.0,1.0,0.23062788091957565,18,Audience Type 2,Programmatic Display
1812702.0,23.0,1.0,0.22719680783956633,12,Audience Type 2,Programmatic Display
1896789.0,28.0,1.0,0.22355822754435956,14,Audience Type 2,Programmatic Display
1984851.0,28.0,1.0,0.2184238886842033,60,Audience Type 2,Programmatic Display
2062018.0,30.0,1.0,0.21283330346113166,52,Audience Type 2,Programmatic Display
2116105.0,33.0,1.0,0.20655683301858857,26,Audience Type 2,Programmatic Display
2186197.0,34.0,1.0,0.19937514522006966,41,Audience Type 2,Programmatic Display
2257533.0,39.0,1.0,0.19297534804392208,25,Audience Type 2,Programmatic Display
2237726.0,41.0,1.0,0.19087042735302123,27,Audience Type 2,Programmatic Display
2195769.0,44.0,1.0,0.18901855666828293,15,Audience Type 2,Programmatic Display
2162878.0,45.0,1.0,0.18666592267070597,59,Audience Type 2,Programmatic Display
2138573.0,45.0,1.0,0.1847696296756291,169,Audience Type 2,Programmatic Display
2099452.0,48.0,1.0,0.1861240919527537,30,Audience Type 2,Programmatic Display
2042466.0,46.0,1.0,0.18712931143585637,28,Audience Type 2,Programmatic Display
2031624.0,46.0,1.0,0.18749948049177872,15,Audience Type 2,Programmatic Display
1987533.0,49.0,1.0,0.18691935681459743,10,Audience Type 2,Programmatic Display
1944075.0,48.0,1.0,0.1864383864759692,12,Audience Type 2,Programmatic Display
1920522.0,45.0,1.0,0.18556268535968726,15,Audience Type 2,Programmatic Display
1901863.0,45.0,1.0,0.1844263775745671,18,Audience Type 2,Programmatic Display
1891640.0,50.0,1.0,0.1841886702513595,49,Audience Type 2,Programmatic Display
1844519.0,50.0,1.0,0.18392441690813316,67,Audience Type 2,Programmatic Display
917042.0,36.0,5.0,0.22144182135508633,366,Audience Type 4,Programmatic Display
947170.0,36.0,5.0,0.23063582702539817,155,Audience Type 4,Programmatic Display
985555.0,36.0,5.0,0.23263481231205468,133,Audience Type 4,Programmatic Display
1015543.0,36.0,5.0,0.23039956803319023,173,Audience Type 4,Programmatic Display
1039566.0,36.0,5.0,0.22784397292932615,219,Audience Type 4,Programmatic Display
1067153.0,36.0,5.0,0.22723264997362644,217,Audience Type 4,Programmatic Display
1067278.0,36.0,5.0,0.22954511760878898,276,Audience Type 4,Programmatic Display
1059041.0,36.0,5.0,0.23136917105374458,276,Audience Type 4,Programmatic Display
1049949.0,32.0,4.0,0.23544068320267716,100,Audience Type 4,Programmatic Display
