VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
738028,8,0,3,4,Programmatic Display
536861,8,0,0,4,Programmatic Display
270064,6,0,0,4,Programmatic Display
11371,6,0,0,4,Programmatic Display
10142,0,0,2,4,Programmatic Display
6774,9,0,4,4,Programmatic Display
6774,9,0,2,4,Programmatic Display
6774,9,0,0,4,Programmatic Display
0,9,0,4,4,Programmatic Display
0,9,0,0,4,Programmatic Display
197,0,0,10,4,Programmatic Display
9568,0,0,1,4,Programmatic Display
9644,0,0,0,4,Programmatic Display
9644,0,0,0,4,Programmatic Display
9644,0,0,0,4,Programmatic Display
9447,0,0,0,4,Programmatic Display
318,0,0,0,4,Programmatic Display
246,0,0,0,4,Programmatic Display
4262,0,0,15,4,Programmatic Display
4269,0,0,31,4,Programmatic Display
223682,0,0,17,4,Programmatic Display
488270,0,0,23,4,Programmatic Display
755940,0,0,30,4,Programmatic Display
988693,0,0,28,4,Programmatic Display
1280691,0,0,26,4,Programmatic Display
1355867,1,0,31,4,Programmatic Display
1322284,1,0,23,4,Programmatic Display
1327488,1,0,32,4,Programmatic Display
1374275,1,0,29,4,Programmatic Display
1339248,2,0,32,4,Programmatic Display
1296737,1,0,33,4,Programmatic Display
1316257,1,0,36,4,Programmatic Display
1313673,1,0,25,4,Programmatic Display
1277261,3,0,68,4,Programmatic Display
1301442,2,0,35,4,Programmatic Display
1286506,2,0,66,4,Programmatic Display
1299031,2,0,35,4,Programmatic Display
1313483,3,0,33,4,Programmatic Display
1364033,1,0,45,4,Programmatic Display
1326605,1,0,30,4,Programmatic Display
1342156,4,0,36,4,Programmatic Display
1358815,4,0,57,4,Programmatic Display
1329019,4,1,21,4,Programmatic Display
1281453,4,1,37,4,Programmatic Display
1324690,9,1,54,4,Programmatic Display
1352481,6,1,62,4,Programmatic Display
1333026,8,1,57,4,Programmatic Display
1350250,9,0,49,4,Programmatic Display
1368535,9,0,62,4,Programmatic Display
1386225,6,0,50,4,Programmatic Display
1372523,8,0,23,4,Programmatic Display
1377123,6,0,53,4,Programmatic Display
1400689,5,0,77,4,Programmatic Display
1262678,7,0,190,4,Programmatic Display
1058302,8,0,57,4,Programmatic Display
940132,6,0,139,4,Programmatic Display
