VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
3495585,17,0,2,4,Programmatic Display
3316244,15,0,3,4,Programmatic Display
3132399,15,0,0,4,Programmatic Display
2978175,15,0,0,4,Programmatic Display
2803806,15,0,0,4,Programmatic Display
2641663,15,0,2,4,Programmatic Display
2397477,24,0,4,4,Programmatic Display
2156382,22,0,2,4,Programmatic Display
1982498,22,0,0,4,Programmatic Display
1982160,22,0,4,4,Programmatic Display
1982160,22,0,0,4,Programmatic Display
1982357,22,0,10,4,Programmatic Display
1991313,20,0,1,4,Programmatic Display
1976608,20,0,0,4,Programmatic Display
1902698,19,0,0,4,Programmatic Display
1834838,18,0,0,4,Programmatic Display
1744995,18,0,0,4,Programmatic Display
1667549,18,0,0,4,Programmatic Display
1611413,18,0,0,4,Programmatic Display
1522316,18,0,15,4,Programmatic Display
1447922,18,0,31,4,Programmatic Display
1598427,18,0,17,4,Programmatic Display
1788077,18,0,23,4,Programmatic Display
1978236,18,0,30,4,Programmatic Display
2149369,18,0,28,4,Programmatic Display
2244244,18,0,26,4,Programmatic Display
2333995,18,0,31,4,Programmatic Display
2364075,18,0,23,4,Programmatic Display
2370156,16,0,32,4,Programmatic Display
2388245,16,0,29,4,Programmatic Display
2643994,11,0,32,4,Programmatic Display
2892704,11,0,33,4,Programmatic Display
3143471,11,0,36,4,Programmatic Display
3413765,11,0,25,4,Programmatic Display
3654135,13,0,68,4,Programmatic Display
3935294,13,0,35,4,Programmatic Display
4172436,4,0,66,4,Programmatic Display
4435728,4,0,35,4,Programmatic Display
4720474,5,0,33,4,Programmatic Display
5018168,5,0,45,4,Programmatic Display
5261899,5,0,30,4,Programmatic Display
5514395,8,0,36,4,Programmatic Display
5784975,8,0,57,4,Programmatic Display
6039849,9,1,21,4,Programmatic Display
6289977,9,1,37,4,Programmatic Display
6576945,14,1,54,4,Programmatic Display
6857429,14,1,62,4,Programmatic Display
7117683,16,1,57,4,Programmatic Display
7389853,18,1,49,4,Programmatic Display
7654250,18,1,62,4,Programmatic Display
7958901,20,1,50,4,Programmatic Display
8006270,22,1,23,4,Programmatic Display
8006536,22,1,53,4,Programmatic Display
8034602,23,1,77,4,Programmatic Display
7928235,25,1,190,4,Programmatic Display
7736512,28,1,57,4,Programmatic Display
7590535,27,1,139,4,Programmatic Display
7501747,27,1,113,4,Programmatic Display
7374709,30,1,93,4,Programmatic Display
7225328,30,1,65,4,Programmatic Display
7128145,29,1,81,4,Programmatic Display
7009465,29,1,112,4,Programmatic Display
6940519,29,1,178,4,Programmatic Display
6856668,29,1,108,4,Programmatic Display
31495,10,0,152,1,Search
31493,10,0,355,1,Search
32669,10,0,166,1,Search
32669,10,0,285,1,Search
28188,10,0,191,1,Search
31148,11,0,103,1,Search
28797,8,0,136,1,Search
26712,8,0,97,1,Search
26724,8,0,2,1,Search
24721,8,0,30,1,Search
25247,8,0,31,1,Search
25191,8,0,52,1,Search
24431,8,0,124,1,Search
23727,11,0,112,1,Search
23493,11,0,13,1,Search
23178,11,0,52,1,Search
24022,11,0,129,1,Search
24304,11,0,59,1,Search
25701,11,0,51,1,Search
26153,11,0,52,1,Search
26688,11,0,68,1,Search
27847,11,0,82,1,Search
30825,9,0,85,1,Search
30242,9,0,37,1,Search
30888,9,0,61,1,Search
25150,9,0,108,1,Search
28878,4,0,62,1,Search
29874,4,0,50,1,Search
37785,4,0,41,1,Search
36625,4,0,64,1,Search
36625,13,0,27,1,Search
37331,13,0,38,1,Search
36249,13,0,31,1,Search
36249,13,0,64,1,Search
36019,13,0,43,1,Search
33049,12,0,133,1,Search
34219,14,0,123,1,Search
34228,14,0,75,1,Search
34458,16,0,128,1,Search
35557,16,0,176,1,Search
34735,16,0,160,1,Search
39486,16,0,116,1,Search
38945,16,0,130,1,Search
39381,13,0,75,1,Search
41147,13,0,97,1,Search
41609,13,0,81,1,Search
40765,13,0,89,1,Search
45178,13,0,66,1,Search
43893,14,0,66,1,Search
46286,14,0,66,1,Search
45765,16,0,117,1,Search
